text,label
Road sign is bent and not visible to drivers,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
The direction board is unreadable due to damage,damaged_road_sign
The direction board is unreadable due to damage,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
The speed limit sign near apartment gate is damaged,damaged_road_sign
Traffic sign at main road is broken,damaged_road_sign
The direction board is unreadable due to damage,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
The no parking sign near apartment gate is damaged,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
The direction sign near market is damaged,damaged_road_sign
Traffic sign at market is broken,damaged_road_sign
Traffic sign at bus stop is broken,damaged_road_sign
The direction board is unreadable due to damage,damaged_road_sign
The speed limit sign near main road is damaged,damaged_road_sign
Signboard near apartment gate has fallen down,damaged_road_sign
The direction board is unreadable due to damage,damaged_road_sign
The direction sign near junction is damaged,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
The no parking sign near apartment gate is damaged,damaged_road_sign
The stop sign near main road is damaged,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
The speed limit sign near school is damaged,damaged_road_sign
The direction board is unreadable due to damage,damaged_road_sign
The direction sign near school is damaged,damaged_road_sign
Traffic sign at market is broken,damaged_road_sign
Signboard near school has fallen down,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
Signboard near main road has fallen down,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
The traffic sign near school is damaged,damaged_road_sign
Traffic sign at apartment gate is broken,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
The speed limit sign near main road is damaged,damaged_road_sign
Signboard near residential area has fallen down,damaged_road_sign
Signboard near hospital has fallen down,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
Traffic sign at metro station is broken,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
The direction sign near apartment gate is damaged,damaged_road_sign
Traffic sign at metro station is broken,damaged_road_sign
The traffic sign near market is damaged,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
Traffic sign at apartment gate is broken,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
The stop sign near hospital is damaged,damaged_road_sign
The stop sign near market is damaged,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
The traffic sign near junction is damaged,damaged_road_sign
Traffic sign at school is broken,damaged_road_sign
The traffic sign near market is damaged,damaged_road_sign
Traffic sign at bus stop is broken,damaged_road_sign
Signboard near hospital has fallen down,damaged_road_sign
The direction board is unreadable due to damage,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
Signboard near main road has fallen down,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
The no parking sign near residential area is damaged,damaged_road_sign
The direction board is unreadable due to damage,damaged_road_sign
Signboard near apartment gate has fallen down,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
Signboard near school has fallen down,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
Signboard near metro station has fallen down,damaged_road_sign
The direction board is unreadable due to damage,damaged_road_sign
The traffic sign near bus stop is damaged,damaged_road_sign
Traffic sign at main road is broken,damaged_road_sign
Signboard near junction has fallen down,damaged_road_sign
Traffic sign at main road is broken,damaged_road_sign
The direction board is unreadable due to damage,damaged_road_sign
Traffic sign at hospital is broken,damaged_road_sign
The direction sign near apartment gate is damaged,damaged_road_sign
Signboard near junction has fallen down,damaged_road_sign
The direction board is unreadable due to damage,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
The direction board is unreadable due to damage,damaged_road_sign
Traffic sign at residential area is broken,damaged_road_sign
Signboard near residential area has fallen down,damaged_road_sign
Signboard near metro station has fallen down,damaged_road_sign
Traffic sign at apartment gate is broken,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
Signboard near apartment gate has fallen down,damaged_road_sign
Traffic sign at market is broken,damaged_road_sign
Traffic sign at apartment gate is broken,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
The direction sign near main road is damaged,damaged_road_sign
The no parking sign near junction is damaged,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
Signboard near apartment gate has fallen down,damaged_road_sign
The direction board is unreadable due to damage,damaged_road_sign
The stop sign near junction is damaged,damaged_road_sign
Road sign is bent and not visible to drivers,damaged_road_sign
Waste dumped on roadside near main road,garbage
Garbage has not been collected near apartment gate,garbage
Uncollected waste blocking the footpath,garbage
Waste dumped on roadside near junction,garbage
Uncollected waste blocking the footpath,garbage
Piles of garbage attracting dogs and insects,garbage
Overflowing trash bins causing bad smell,garbage
Garbage has not been collected near market,garbage
Waste dumped on roadside near residential area,garbage
Waste dumped on roadside near school,garbage
Waste dumped on roadside near market,garbage
Waste dumped on roadside near main road,garbage
Garbage has not been collected near school,garbage
Uncollected waste blocking the footpath,garbage
Waste dumped on roadside near main road,garbage
Piles of garbage attracting dogs and insects,garbage
Piles of garbage attracting dogs and insects,garbage
Garbage has not been collected near hospital,garbage
Piles of garbage attracting dogs and insects,garbage
Piles of garbage attracting dogs and insects,garbage
Overflowing trash bins causing bad smell,garbage
Uncollected waste blocking the footpath,garbage
Overflowing trash bins causing bad smell,garbage
Waste dumped on roadside near residential area,garbage
Piles of garbage attracting dogs and insects,garbage
Uncollected waste blocking the footpath,garbage
Uncollected waste blocking the footpath,garbage
Piles of garbage attracting dogs and insects,garbage
Piles of garbage attracting dogs and insects,garbage
Waste dumped on roadside near school,garbage
Waste dumped on roadside near market,garbage
Uncollected waste blocking the footpath,garbage
Piles of garbage attracting dogs and insects,garbage
Uncollected waste blocking the footpath,garbage
Piles of garbage attracting dogs and insects,garbage
Garbage has not been collected near main road,garbage
Waste dumped on roadside near bus stop,garbage
Waste dumped on roadside near bus stop,garbage
Uncollected waste blocking the footpath,garbage
Garbage has not been collected near hospital,garbage
Garbage has not been collected near apartment gate,garbage
Uncollected waste blocking the footpath,garbage
Waste dumped on roadside near main road,garbage
Overflowing trash bins causing bad smell,garbage
Garbage has not been collected near bus stop,garbage
Uncollected waste blocking the footpath,garbage
Waste dumped on roadside near bus stop,garbage
Uncollected waste blocking the footpath,garbage
Garbage has not been collected near metro station,garbage
Overflowing trash bins causing bad smell,garbage
Uncollected waste blocking the footpath,garbage
Overflowing trash bins causing bad smell,garbage
Overflowing trash bins causing bad smell,garbage
Garbage has not been collected near bus stop,garbage
Waste dumped on roadside near metro station,garbage
Uncollected waste blocking the footpath,garbage
Overflowing trash bins causing bad smell,garbage
Garbage has not been collected near apartment gate,garbage
Waste dumped on roadside near hospital,garbage
Waste dumped on roadside near junction,garbage
Garbage has not been collected near hospital,garbage
Uncollected waste blocking the footpath,garbage
Waste dumped on roadside near metro station,garbage
Uncollected waste blocking the footpath,garbage
Garbage has not been collected near market,garbage
Overflowing trash bins causing bad smell,garbage
Uncollected waste blocking the footpath,garbage
Overflowing trash bins causing bad smell,garbage
Piles of garbage attracting dogs and insects,garbage
Piles of garbage attracting dogs and insects,garbage
Piles of garbage attracting dogs and insects,garbage
Waste dumped on roadside near market,garbage
Overflowing trash bins causing bad smell,garbage
Garbage has not been collected near main road,garbage
Uncollected waste blocking the footpath,garbage
Garbage has not been collected near market,garbage
Piles of garbage attracting dogs and insects,garbage
Garbage has not been collected near hospital,garbage
Uncollected waste blocking the footpath,garbage
Overflowing trash bins causing bad smell,garbage
Piles of garbage attracting dogs and insects,garbage
Piles of garbage attracting dogs and insects,garbage
Overflowing trash bins causing bad smell,garbage
Uncollected waste blocking the footpath,garbage
Garbage has not been collected near school,garbage
Piles of garbage attracting dogs and insects,garbage
Overflowing trash bins causing bad smell,garbage
Uncollected waste blocking the footpath,garbage
Piles of garbage attracting dogs and insects,garbage
Waste dumped on roadside near market,garbage
Garbage has not been collected near school,garbage
Uncollected waste blocking the footpath,garbage
Uncollected waste blocking the footpath,garbage
Uncollected waste blocking the footpath,garbage
Overflowing trash bins causing bad smell,garbage
Overflowing trash bins causing bad smell,garbage
Uncollected waste blocking the footpath,garbage
Waste dumped on roadside near main road,garbage
Waste dumped on roadside near residential area,garbage
Uncollected waste blocking the footpath,garbage
School wall is covered with graffiti,graffiti
Offensive graffiti visible on building,graffiti
Graffiti painted on wall near market,graffiti
Graffiti painted on wall near bus stop,graffiti
Public wall vandalized with spray paint,graffiti
Metro pillar has abusive graffiti,graffiti
Metro pillar has abusive graffiti,graffiti
Offensive graffiti visible on building,graffiti
Graffiti painted on wall near hospital,graffiti
Public wall vandalized with spray paint,graffiti
Metro pillar has abusive graffiti,graffiti
Graffiti painted on wall near residential area,graffiti
School wall is covered with graffiti,graffiti
Public wall vandalized with spray paint,graffiti
School wall is covered with graffiti,graffiti
Metro pillar has abusive graffiti,graffiti
Graffiti painted on wall near hospital,graffiti
Offensive graffiti visible on building,graffiti
School wall is covered with graffiti,graffiti
Metro pillar has abusive graffiti,graffiti
Metro pillar has abusive graffiti,graffiti
Offensive graffiti visible on building,graffiti
Public wall vandalized with spray paint,graffiti
Graffiti painted on wall near metro station,graffiti
Graffiti painted on wall near bus stop,graffiti
Graffiti painted on wall near school,graffiti
Metro pillar has abusive graffiti,graffiti
Metro pillar has abusive graffiti,graffiti
Public wall vandalized with spray paint,graffiti
School wall is covered with graffiti,graffiti
Public wall vandalized with spray paint,graffiti
Metro pillar has abusive graffiti,graffiti
Offensive graffiti visible on building,graffiti
Graffiti painted on wall near market,graffiti
School wall is covered with graffiti,graffiti
Metro pillar has abusive graffiti,graffiti
Graffiti painted on wall near junction,graffiti
Graffiti painted on wall near main road,graffiti
Metro pillar has abusive graffiti,graffiti
Graffiti painted on wall near market,graffiti
School wall is covered with graffiti,graffiti
Graffiti painted on wall near bus stop,graffiti
Public wall vandalized with spray paint,graffiti
School wall is covered with graffiti,graffiti
School wall is covered with graffiti,graffiti
School wall is covered with graffiti,graffiti
Public wall vandalized with spray paint,graffiti
School wall is covered with graffiti,graffiti
Offensive graffiti visible on building,graffiti
Graffiti painted on wall near school,graffiti
Offensive graffiti visible on building,graffiti
Metro pillar has abusive graffiti,graffiti
Graffiti painted on wall near metro station,graffiti
Offensive graffiti visible on building,graffiti
Graffiti painted on wall near market,graffiti
School wall is covered with graffiti,graffiti
School wall is covered with graffiti,graffiti
School wall is covered with graffiti,graffiti
Public wall vandalized with spray paint,graffiti
Public wall vandalized with spray paint,graffiti
Public wall vandalized with spray paint,graffiti
Graffiti painted on wall near bus stop,graffiti
School wall is covered with graffiti,graffiti
Offensive graffiti visible on building,graffiti
Metro pillar has abusive graffiti,graffiti
Offensive graffiti visible on building,graffiti
Metro pillar has abusive graffiti,graffiti
Metro pillar has abusive graffiti,graffiti
Offensive graffiti visible on building,graffiti
School wall is covered with graffiti,graffiti
Public wall vandalized with spray paint,graffiti
Metro pillar has abusive graffiti,graffiti
School wall is covered with graffiti,graffiti
Metro pillar has abusive graffiti,graffiti
Graffiti painted on wall near metro station,graffiti
Offensive graffiti visible on building,graffiti
Offensive graffiti visible on building,graffiti
Graffiti painted on wall near school,graffiti
School wall is covered with graffiti,graffiti
Offensive graffiti visible on building,graffiti
Metro pillar has abusive graffiti,graffiti
Graffiti painted on wall near residential area,graffiti
Metro pillar has abusive graffiti,graffiti
Graffiti painted on wall near metro station,graffiti
Offensive graffiti visible on building,graffiti
Offensive graffiti visible on building,graffiti
Public wall vandalized with spray paint,graffiti
School wall is covered with graffiti,graffiti
Public wall vandalized with spray paint,graffiti
School wall is covered with graffiti,graffiti
Public wall vandalized with spray paint,graffiti
School wall is covered with graffiti,graffiti
Public wall vandalized with spray paint,graffiti
Public wall vandalized with spray paint,graffiti
Graffiti painted on wall near main road,graffiti
Public wall vandalized with spray paint,graffiti
School wall is covered with graffiti,graffiti
Graffiti painted on wall near residential area,graffiti
Graffiti painted on wall near bus stop,graffiti
Metro pillar has abusive graffiti,graffiti
Double parking causing traffic jam,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
Vehicles parked illegally near main road,illegal_parking
Cars blocking footpath due to illegal parking,illegal_parking
Double parking causing traffic jam,illegal_parking
Double parking causing traffic jam,illegal_parking
Cars blocking footpath due to illegal parking,illegal_parking
Double parking causing traffic jam,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
Double parking causing traffic jam,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
Double parking causing traffic jam,illegal_parking
Double parking causing traffic jam,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
Cars blocking footpath due to illegal parking,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
Cars blocking footpath due to illegal parking,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
Double parking causing traffic jam,illegal_parking
Double parking causing traffic jam,illegal_parking
Double parking causing traffic jam,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
Cars blocking footpath due to illegal parking,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
Vehicles parked illegally near market,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
Cars blocking footpath due to illegal parking,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
Vehicles parked illegally near metro station,illegal_parking
Cars blocking footpath due to illegal parking,illegal_parking
Cars blocking footpath due to illegal parking,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
Double parking causing traffic jam,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
Double parking causing traffic jam,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
Cars blocking footpath due to illegal parking,illegal_parking
Vehicles parked illegally near residential area,illegal_parking
Vehicles parked illegally near bus stop,illegal_parking
Cars blocking footpath due to illegal parking,illegal_parking
Vehicles parked illegally near bus stop,illegal_parking
Cars blocking footpath due to illegal parking,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
Double parking causing traffic jam,illegal_parking
Cars blocking footpath due to illegal parking,illegal_parking
Vehicles parked illegally near bus stop,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
Vehicles parked illegally near market,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
Cars blocking footpath due to illegal parking,illegal_parking
Cars blocking footpath due to illegal parking,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
Vehicles parked illegally near hospital,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
Vehicles parked illegally near apartment gate,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
Cars blocking footpath due to illegal parking,illegal_parking
Cars blocking footpath due to illegal parking,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
Cars blocking footpath due to illegal parking,illegal_parking
Double parking causing traffic jam,illegal_parking
Double parking causing traffic jam,illegal_parking
Double parking causing traffic jam,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
Vehicles parked illegally near bus stop,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
Vehicles parked illegally near school,illegal_parking
Double parking causing traffic jam,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
Cars blocking footpath due to illegal parking,illegal_parking
Vehicles parked illegally near bus stop,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
No-parking zone occupied by vehicles,illegal_parking
Vehicles parked illegally near main road,illegal_parking
Double parking causing traffic jam,illegal_parking
Vehicles parked illegally near main road,illegal_parking
Double parking causing traffic jam,illegal_parking
Vehicles parked illegally near residential area,illegal_parking
Bike parked illegally blocking entrance,illegal_parking
There is a deep pothole on the main road near the bus stop that is causing traffic delays,pothole_road_crack
A huge pothole has formed in front of the school and vehicles are slowing down suddenly,pothole_road_crack
The road surface near the hospital is badly damaged with cracks and holes,pothole_road_crack
Multiple potholes on this street are damaging car suspensions daily,pothole_road_crack
A large crack has appeared in the middle of the road near the junction,pothole_road_crack
There is a dangerous pothole near the apartment entrance that fills with water during rain,pothole_road_crack
Road condition near the market is very poor due to several potholes,pothole_road_crack
A deep hole on the service road is causing two-wheelers to skid,pothole_road_crack
The road has been broken for months and no repair has been done,pothole_road_crack
Potholes near the metro station are making it hard for buses to pass,pothole_road_crack
The street outside our residential layout has cracks all over,pothole_road_crack
There is a big pothole near the signal that causes frequent traffic jams,pothole_road_crack
Vehicles are getting damaged because of a deep pothole on this road,pothole_road_crack
The road has sunk at one point creating a dangerous pit,pothole_road_crack
Potholes have appeared after recent rains and are getting worse,pothole_road_crack
This road has uneven surface and cracks making driving unsafe,pothole_road_crack
A large hole near the bus stand is forcing vehicles to change lanes suddenly,pothole_road_crack
The main road is badly cracked and needs urgent resurfacing,pothole_road_crack
There is a small but deep pothole that is hard to notice at night,pothole_road_crack
Road damage near the office area is causing daily congestion,pothole_road_crack
The asphalt has worn out leaving deep cracks on the road,pothole_road_crack
Potholes on this street have already caused several minor accidents,pothole_road_crack
The road near the bridge has broken edges and deep holes,pothole_road_crack
A badly damaged road patch is making it difficult for pedestrians to cross,pothole_road_crack
The surface of the road is uneven due to multiple cracks,pothole_road_crack
There is a deep pothole right after the speed breaker,pothole_road_crack
The road has collapsed slightly creating a large crack,pothole_road_crack
Potholes near the residential gate are causing daily inconvenience,pothole_road_crack
The road condition has worsened with cracks spreading across lanes,pothole_road_crack
This pothole has been there for weeks and is getting deeper,pothole_road_crack
The traffic sign near the junction is broken and difficult to read,damaged_road_sign
A direction board on the highway is bent and partially damaged,damaged_road_sign
The speed limit sign near the school is faded and not visible to drivers,damaged_road_sign
Road sign at the main signal has fallen down and is lying on the ground,damaged_road_sign
The signboard near the bus stop is cracked and unreadable,damaged_road_sign
A damaged traffic sign near the hospital is confusing motorists,damaged_road_sign
The stop sign at this intersection is broken and tilted,damaged_road_sign
Road sign indicating a turn is missing near the flyover,damaged_road_sign
The warning sign before the curve is damaged and not clearly visible,damaged_road_sign
Traffic sign near the residential area has been vandalized,damaged_road_sign
The direction sign at the junction is rusted and unclear,damaged_road_sign
A road sign near the market is covered with stickers and cannot be read,damaged_road_sign
The speed breaker warning sign is damaged and misleading drivers,damaged_road_sign
Signboard near the metro station is broken and hanging loosely,damaged_road_sign
Traffic sign near the school crossing is faded and unsafe for children,damaged_road_sign
The road sign showing lane directions is damaged after the storm,damaged_road_sign
A bent signpost near the service road is confusing traffic,damaged_road_sign
The sign indicating a one way road is partially broken,damaged_road_sign
Road sign near the bridge is damaged and barely visible at night,damaged_road_sign
The traffic instruction board near the signal is cracked,damaged_road_sign
A warning sign before the speed breaker is damaged and unclear,damaged_road_sign
The signboard showing road names is broken near the junction,damaged_road_sign
A traffic sign near the office area has fallen due to weak support,damaged_road_sign
The direction sign on this road is faded and unreadable,damaged_road_sign
Road sign near the bus depot is damaged and misleading drivers,damaged_road_sign
The sign indicating pedestrian crossing is broken,damaged_road_sign
Traffic sign near the apartment entrance is damaged and leaning,damaged_road_sign
The road sign warning about a curve is cracked and unclear,damaged_road_sign
A damaged signboard near the main road is causing confusion,damaged_road_sign
The signpost at the junction has been broken for weeks,damaged_road_sign
Garbage has not been collected from our street for the past three days,garbage
Overflowing trash bins near the market are causing a bad smell,garbage
Waste dumped on the roadside is attracting stray dogs and insects,garbage
Garbage is piling up near the apartment entrance and blocking the footpath,garbage
Uncollected waste near the bus stop is creating hygiene problems,garbage
Trash has been lying near the school for several days without pickup,garbage
The garbage bin near our house is overflowing and spreading foul odor,garbage
Waste is dumped openly near the residential area causing health issues,garbage
Garbage collection has been irregular in our locality this week,garbage
Piles of waste near the junction are making it difficult for pedestrians,garbage
The dustbin near the park is full and garbage is scattered around,garbage
Garbage has accumulated near the drainage line and smells terrible,garbage
Uncollected waste on the street is attracting mosquitoes,garbage
Garbage near the hospital area has not been cleared for days,garbage
Trash dumped near the metro station looks unhygienic,garbage
The garbage truck has not come to our area since last week,garbage
Waste lying near shops is blocking the roadside,garbage
Garbage is scattered near the apartment gate causing inconvenience,garbage
Overflowing waste bins near the main road are unsafe,garbage
Uncleared garbage near the bus depot is creating pollution,garbage
Garbage bags are torn and waste is spread across the street,garbage
Trash near the market area is attracting flies and rodents,garbage
Garbage collection has completely stopped in our street,garbage
Waste dumped near the footpath is forcing people to walk on the road,garbage
Garbage has been lying near the signal for several days,garbage
Unmanaged waste near residential homes is causing health risks,garbage
Garbage near the playground is making the area dirty,garbage
Trash is piling up near the service road and smells bad,garbage
Garbage bins near the office area are not being emptied,garbage
Uncollected garbage near the apartment block is causing inconvenience,garbage
Graffiti has been painted on the wall near the main road,graffiti
Public wall near the bus stop has been vandalized with spray paint,graffiti
Offensive graffiti is visible on the school boundary wall,graffiti
Graffiti on the metro station pillars looks inappropriate,graffiti
Someone has painted graffiti on the government building wall,graffiti
The wall near the park is covered with unwanted graffiti,graffiti
Graffiti on the flyover wall is spoiling the area’s appearance,graffiti
Public property near the junction has been defaced with graffiti,graffiti
Spray painted graffiti is visible on the apartment compound wall,graffiti
Graffiti on the roadside wall is disturbing residents,graffiti
Vandalized wall with graffiti near the hospital looks unhygienic,graffiti
Graffiti has been written on the school building exterior,graffiti
The wall near the market is filled with graffiti and drawings,graffiti
Public restroom wall has been vandalized with graffiti,graffiti
Graffiti on the bridge wall is clearly visible from the road,graffiti
Someone has written offensive graffiti near the playground,graffiti
Graffiti on the metro entrance wall needs immediate cleaning,graffiti
The compound wall near the office area is covered with graffiti,graffiti
Spray painted messages on the wall near the signal look abusive,graffiti
Graffiti on the residential boundary wall is increasing daily,graffiti
The wall near the bus depot has been vandalized with graffiti,graffiti
Graffiti painted near the subway entrance looks inappropriate,graffiti
Public wall near the library has been defaced with graffiti,graffiti
Graffiti on the roadside building wall is spreading rapidly,graffiti
Vandalized graffiti near the apartment parking area is visible,graffiti
Graffiti on the flyover pillar is spoiling the city’s look,graffiti
Someone has drawn graffiti on the school gate wall,graffiti
Graffiti on the wall near the temple looks disrespectful,graffiti
